Rank,Console,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4301,10,2015,5,0.05,0.05,0.34,0.01,0.46
4302,5,2010,9,0.21,0.2,0,0.04,0.46
4303,14,2003,1,0.36,0.08,0,0.02,0.46
4304,1,2010,6,0.43,0,0,0.03,0.46
4305,13,1995,8,0.25,0.17,0,0.03,0.46
4306,1,2007,9,0.39,0.02,0.01,0.04,0.46
4307,6,2011,7,0.2,0.16,0.03,0.07,0.46
4308,6,2011,6,0,0.35,0,0.1,0.46
4309,23,2015,6,0.13,0.1,0.15,0.07,0.46
4310,6,2009,4,0,0,0.45,0,0.45
4311,18,2014,9,0.26,0.15,0,0.04,0.45
4312,17,2009,9,0.03,0.03,0.38,0.02,0.45
4313,9,2005,2,0.33,0.12,0,0.01,0.45
4314,23,2013,4,0.15,0.13,0.09,0.08,0.45
4315,13,1999,7,0.25,0.17,0,0.03,0.45
4316,10,2014,9,0.21,0.21,0,0.04,0.45
4317,1,2007,11,0.42,0,0,0.03,0.45
4318,8,1996,1,0,0,0.45,0,0.45
4319,11,2014,11,0.12,0.25,0.01,0.08,0.45
4320,7,2005,1,0,0,0.45,0,0.45
4321,19,2003,9,0.34,0.09,0.02,0.01,0.45
4322,1,2008,2,0.36,0.06,0,0.03,0.45
4323,14,2004,3,0.34,0.1,0,0.02,0.45
4324,8,1995,1,0,0,0.45,0,0.45
4325,4,2007,5,0.42,0,0,0.03,0.45
4326,19,2002,4,0.23,0.06,0.16,0.01,0.45
4327,4,2012,6,0.03,0.37,0,0.05,0.45
4328,7,2002,9,0.22,0.17,0,0.06,0.45
4329,23,2012,7,0.21,0.16,0.02,0.07,0.45
4330,1,2012,1,0.39,0.03,0,0.03,0.45
4331,10,2011,10,0.13,0.21,0.07,0.03,0.45
4333,4,2008,6,0.41,0.01,0,0.03,0.45
4334,7,2006,1,0.38,0.01,0,0.06,0.45
4335,15,2014,9,0.14,0.26,0,0.05,0.45
4336,1,2008,6,0.42,0,0,0.03,0.45
4337,5,2011,1,0.4,0.03,0,0.03,0.45
4338,5,2008,7,0.3,0.11,0,0.04,0.45
4339,16,1985,5,0.42,0.03,0,0,0.45
4340,13,1998,1,0.25,0.17,0,0.03,0.45
4341,7,2005,7,0.22,0.17,0,0.06,0.45
4342,13,1998,1,0,0,0.42,0.03,0.45
4343,5,2007,3,0.12,0.28,0,0.05,0.45
4344,7,2004,1,0.22,0.17,0,0.06,0.45
4345,5,2008,10,0.26,0.15,0,0.04,0.45
4346,14,2003,7,0.34,0.1,0,0.02,0.45
4347,1,2007,12,0.39,0.02,0,0.03,0.45
4348,16,1981,8,0.42,0.02,0,0,0.45
4349,6,2010,9,0.26,0.13,0,0.06,0.45
4350,5,2011,7,0.3,0.11,0.01,0.04,0.45
4351,4,2007,6,0.41,0.01,0,0.03,0.45
4352,11,2016,7,0.17,0.21,0,0.07,0.45
4353,1,2009,6,0.42,0,0,0.03,0.45
4354,6,2015,1,0.08,0.18,0.15,0.05,0.45
4355,13,1998,9,0.25,0.17,0,0.03,0.45
4356,4,2009,9,0.27,0.14,0,0.04,0.45
4357,1,2009,1,0.09,0.26,0.05,0.05,0.45
4358,9,2004,6,0.32,0.12,0,0.01,0.45
4359,6,2009,6,0.11,0.26,0,0.08,0.45
4360,23,2013,4,0,0,0.45,0,0.45
4361,1,2009,9,0.1,0.02,0.32,0.01,0.45
4362,7,2001,1,0,0,0.45,0,0.45
4363,11,2015,9,0.08,0.22,0.1,0.05,0.45
4364,7,2003,9,0.22,0.17,0,0.06,0.45
4365,8,1993,10,0,0,0.45,0,0.45
4366,12,1998,9,0.36,0.08,0,0.01,0.45
4367,12,2000,5,0.36,0.08,0,0.01,0.45
4368,6,2008,4,0.19,0.13,0.07,0.06,0.45
4369,1,2009,8,0.26,0.14,0,0.04,0.45
4370,10,2014,1,0.09,0.33,0,0.03,0.45
4371,1,2007,8,0.41,0.01,0,0.03,0.45
4372,4,2007,9,0.41,0,0,0.03,0.45
4373,9,2001,10,0.32,0.12,0,0.01,0.45
4374,7,2006,4,0.22,0.03,0,0.2,0.45
4375,13,1995,4,0,0,0.42,0.03,0.45
4376,4,2009,6,0.21,0.19,0,0.05,0.45
4377,5,2012,10,0.26,0.14,0.01,0.04,0.45
4378,9,2004,3,0.32,0.12,0,0.01,0.45
4379,5,2008,9,0.16,0.24,0,0.05,0.45
4381,13,1995,9,0,0,0.42,0.03,0.45
4383,7,2009,6,0,0.06,0,0.39,0.45
4384,17,2010,7,0.17,0.13,0.06,0.08,0.45
4385,13,1999,4,0,0,0.42,0.03,0.45
4386,7,2008,6,0.09,0.02,0,0.34,0.45
4387,5,2009,1,0.4,0.02,0,0.03,0.45
4388,7,2004,9,0.04,0.03,0.36,0.01,0.45
4389,6,2007,1,0.36,0.05,0,0.05,0.45
4390,13,1994,1,0.25,0.17,0,0.03,0.45
4391,14,2005,10,0.34,0.1,0,0.02,0.45
4392,5,2010,1,0.38,0.04,0,0.03,0.45
4393,17,2007,12,0.04,0.26,0,0.14,0.45
4394,19,2004,1,0.35,0.09,0,0.01,0.45
4395,16,1987,7,0.42,0.02,0,0,0.45
4396,19,2004,10,0.35,0.09,0,0.01,0.45
4397,4,2005,9,0.13,0,0.31,0.01,0.45
4398,14,2003,3,0.36,0.07,0,0.01,0.45
4399,13,2000,3,0.25,0.17,0,0.03,0.45
4400,7,2002,3,0.22,0.17,0,0.06,0.45
4401,13,1996,4,0.14,0.09,0.19,0.03,0.45
4402,20,2015,1,0.13,0.16,0.13,0.03,0.45
4403,1,2008,1,0.18,0.22,0,0.05,0.45
4404,16,1981,9,0.42,0.03,0,0,0.45
4405,7,2004,9,0.22,0.17,0,0.06,0.45
4406,9,2004,1,0.32,0.12,0,0.01,0.45
4407,17,2008,2,0.11,0.22,0,0.12,0.45
4408,1,2009,6,0.24,0.16,0,0.04,0.45
4409,4,2009,8,0.42,0,0,0.03,0.45
4410,18,2013,6,0.3,0.11,0,0.04,0.45
4411,7,2004,6,0.22,0.17,0,0.06,0.44
4412,6,2013,7,0.21,0.15,0,0.08,0.44
4413,7,2006,1,0.37,0.01,0,0.06,0.44
4414,7,2005,6,0.37,0.01,0,0.06,0.44
4415,14,2005,1,0.06,0.33,0.02,0.03,0.44
4416,12,1999,1,0.42,0.02,0,0,0.44
4417,7,2004,9,0.22,0.17,0,0.06,0.44
4418,7,2005,6,0.37,0.01,0,0.06,0.44
4419,5,2015,9,0.19,0.21,0,0.04,0.44
4420,4,2009,5,0.3,0.11,0,0.04,0.44
4421,7,2002,11,0.22,0.17,0,0.06,0.44
4422,20,2015,9,0.2,0.21,0,0.04,0.44
4423,7,2004,9,0.22,0.17,0,0.06,0.44
4424,14,2005,4,0.3,0.12,0,0.02,0.44
4425,1,2009,6,0.41,0,0,0.03,0.44
4426,5,2012,9,0.28,0.13,0,0.04,0.44
4427,6,2013,9,0.14,0.2,0.03,0.08,0.44
4428,4,2004,8,0.4,0.01,0.02,0,0.44
4429,7,2003,9,0.22,0.17,0,0.06,0.44
4430,14,2006,9,0.33,0.1,0,0.02,0.44
4431,5,2013,9,0.26,0.13,0.01,0.04,0.44
4432,18,2016,7,0.26,0.15,0,0.04,0.44
4433,13,1996,1,0,0,0.41,0.03,0.44
4434,14,2002,1,0.35,0.08,0,0.01,0.44
4435,7,2005,7,0.37,0.01,0,0.06,0.44
4436,1,2009,9,0.19,0.2,0,0.05,0.44
4437,1,2009,9,0.25,0.15,0,0.04,0.44
4438,14,2005,9,0.33,0.1,0,0.02,0.44
4439,9,2003,2,0,0,0.43,0.01,0.44
4440,13,1997,7,0.25,0.17,0,0.03,0.44
4441,5,2011,3,0.18,0.22,0,0.04,0.44
4442,13,1999,3,0.07,0.05,0.3,0.03,0.44
4443,6,2012,9,0.19,0.1,0.11,0.05,0.44
4444,5,2011,7,0.28,0.12,0,0.04,0.44
4445,14,2006,9,0.33,0.1,0,0.02,0.44
4446,1,2008,6,0.1,0.29,0,0.05,0.44
4447,4,2007,6,0.4,0.01,0,0.03,0.44
4448,5,2007,7,0.36,0.04,0.01,0.04,0.44
4449,7,2005,7,0,0,0.44,0,0.44
4450,13,2000,5,0.25,0.17,0,0.03,0.44
4451,13,1996,4,0.25,0.17,0,0.03,0.44
4452,8,1996,5,0,0,0.44,0,0.44
4453,2,1991,5,0.16,0.03,0.15,0.1,0.44
4454,12,1997,7,0.35,0.08,0,0.01,0.44
4455,1,2009,7,0.2,0.14,0.06,0.04,0.44
4456,1,2009,6,0.41,0,0,0.03,0.44
4457,6,2010,9,0.18,0.18,0,0.07,0.44
4458,19,2005,6,0.34,0.09,0,0.01,0.44
4459,7,2007,12,0,0,0.44,0,0.44
4460,13,2001,9,0.24,0.17,0,0.03,0.44
4461,4,2007,8,0.41,0,0,0.03,0.44
4462,4,2007,8,0.4,0,0,0.03,0.44
4463,17,2009,12,0.19,0.07,0.12,0.06,0.44
4464,14,2004,3,0.34,0.08,0,0.02,0.44
4465,7,2002,1,0,0,0.44,0,0.44
4466,13,2000,1,0.24,0.17,0,0.03,0.44
4467,19,2004,10,0,0,0.43,0.01,0.44
4468,4,2010,9,0.26,0.14,0,0.04,0.44
4469,19,2003,2,0.34,0.09,0,0.01,0.44
4470,9,2003,9,0.31,0.12,0,0.01,0.44
4472,7,2003,6,0,0,0.44,0,0.44
4473,4,2010,1,0.41,0,0,0.02,0.44
4475,6,2012,6,0.26,0.12,0,0.06,0.44
4476,19,2002,7,0.34,0.09,0,0.01,0.44
4477,9,2003,9,0.31,0.12,0,0.01,0.44
4478,5,2012,9,0.28,0.11,0.01,0.03,0.44
4479,19,2002,11,0.34,0.09,0,0.01,0.44
4480,9,2004,9,0.31,0.12,0,0.01,0.44
4481,7,2005,10,0.36,0.01,0,0.06,0.44
4482,7,2009,6,0,0.06,0,0.38,0.44
4483,24,1996,11,0,0,0.44,0,0.44
4484,1,2007,2,0.4,0,0,0.03,0.44
4485,7,2005,9,0,0,0.44,0,0.44
4486,4,2010,8,0,0,0.44,0,0.44
4487,7,2002,1,0.21,0.17,0,0.06,0.44
4488,1,2011,6,0.41,0,0,0.03,0.44
4489,7,2007,9,0.36,0.01,0,0.06,0.44
4490,17,2007,10,0.19,0.09,0.08,0.07,0.44
4491,4,2006,5,0.16,0,0.26,0.01,0.44
4492,14,2002,8,0.35,0.07,0,0.02,0.44
4493,1,2009,1,0.41,0,0,0.03,0.44
4494,9,2004,11,0.26,0.1,0.07,0.01,0.43
4495,6,2010,4,0.19,0.18,0,0.07,0.43
4496,10,2011,5,0.2,0.13,0.06,0.03,0.43
4497,4,2009,6,0.39,0.01,0,0.03,0.43
4498,7,2003,9,0.21,0.17,0,0.06,0.43
4499,12,2001,1,0.41,0.02,0,0,0.43
4500,9,2004,3,0.31,0.12,0,0.01,0.43
4501,7,2008,9,0.17,0,0,0.26,0.43
4502,13,2001,7,0.24,0.16,0,0.03,0.43
4503,14,2001,1,0.32,0.09,0,0.02,0.43
4504,9,2005,8,0.31,0.12,0,0.01,0.43
4505,15,2013,1,0.01,0.36,0,0.06,0.43
4506,7,2005,9,0.36,0.01,0,0.06,0.43
4507,11,2014,3,0.13,0.21,0.01,0.08,0.43
4508,4,2010,6,0.41,0,0,0.03,0.43
4509,24,1996,2,0,0,0.43,0,0.43
4510,14,2003,1,0.4,0.02,0,0.02,0.43
4511,15,2016,7,0.22,0.18,0,0.04,0.43
4512,18,2015,6,0.35,0.04,0,0.04,0.43
4513,1,2010,1,0.38,0.03,0,0.03,0.43
4514,7,2003,9,0.21,0.17,0,0.06,0.43
4515,20,2016,6,0.18,0.09,0.14,0.03,0.43
4516,13,2001,1,0.24,0.16,0,0.03,0.43
4517,11,2014,9,0.16,0.2,0,0.07,0.43
4518,7,2000,7,0.21,0.17,0,0.06,0.43
4519,16,1981,9,0.4,0.02,0,0,0.43
4520,7,2004,4,0.21,0.17,0,0.06,0.43
4521,4,2009,4,0.28,0.03,0.1,0.02,0.43
4522,9,2002,2,0.31,0.11,0,0.01,0.43
4523,9,2003,2,0.18,0.07,0.17,0.01,0.43
4524,8,1994,8,0,0,0.43,0,0.43
4525,1,2010,1,0.23,0.15,0.01,0.04,0.43
4526,6,2010,4,0.12,0.07,0.21,0.03,0.43
4527,5,2012,7,0.21,0.19,0,0.04,0.43
4529,7,2009,9,0.15,0.04,0,0.24,0.43
4530,7,2003,9,0.21,0.16,0,0.06,0.43
4531,1,2010,9,0.24,0.15,0,0.04,0.43
4532,5,2007,12,0.35,0.05,0,0.03,0.43
4533,12,1998,3,0.28,0.14,0,0.01,0.43
4534,12,1997,2,0.25,0.06,0.07,0.06,0.43
4535,15,2012,7,0.15,0.22,0,0.06,0.43
4536,4,2008,8,0.39,0.01,0,0.03,0.43
4537,4,2006,2,0.33,0.03,0.04,0.03,0.43
4539,7,2004,1,0.36,0.01,0,0.06,0.43
4540,1,2013,1,0,0.38,0,0.05,0.43
4541,7,2003,4,0.21,0.16,0,0.05,0.43
4542,13,1996,1,0.1,0.07,0.24,0.03,0.43
4543,4,2009,11,0.37,0,0.03,0.03,0.43
4544,7,2001,8,0.09,0.07,0.25,0.02,0.43
4545,6,2012,8,0.21,0.08,0.09,0.05,0.43
4546,6,2007,9,0.16,0.19,0,0.08,0.43
4547,17,2006,4,0.17,0.01,0.23,0.02,0.43
4548,7,2008,6,0.21,0.16,0,0.05,0.43
4549,7,2006,4,0.07,0.05,0.29,0.02,0.43
4550,15,2006,8,0.02,0.34,0,0.07,0.43
4551,18,2014,9,0.23,0.17,0,0.04,0.43
4552,19,2002,1,0.33,0.09,0,0.01,0.43
4553,1,2009,3,0.39,0,0,0.03,0.43
4554,5,2008,6,0.39,0.01,0,0.03,0.43
4555,9,2002,1,0.31,0.11,0,0.01,0.43
4556,20,2012,7,0.21,0.18,0,0.03,0.43
4557,6,2010,9,0.27,0.1,0,0.05,0.43
4558,14,2003,6,0.33,0.08,0,0.01,0.43
4559,4,2009,7,0.37,0.02,0,0.03,0.43
4560,1,2007,8,0.39,0,0,0.03,0.43
4561,4,2011,9,0.24,0.14,0,0.04,0.43
4562,7,2009,9,0.21,0.16,0,0.05,0.43
4563,13,1997,1,0.24,0.16,0,0.03,0.43
4564,11,2014,9,0.18,0.17,0,0.07,0.43
4565,7,2005,6,0.21,0.16,0,0.05,0.43
4566,17,2007,9,0.15,0.17,0,0.1,0.43
4567,17,2006,3,0.11,0.2,0,0.12,0.43
4568,4,2006,9,0.39,0,0,0.03,0.42
4569,24,1997,4,0,0,0.42,0,0.42
4570,17,2011,12,0,0,0.42,0,0.42
4571,19,2002,1,0.33,0.09,0,0.01,0.42
4572,4,2009,9,0.22,0.16,0,0.04,0.42
4573,17,2009,9,0.13,0.19,0,0.11,0.42
4574,4,2008,4,0.23,0.02,0.16,0.02,0.42
4575,7,2007,2,0.21,0.16,0,0.05,0.42
4576,9,2001,4,0.14,0.05,0.22,0.01,0.42
4577,6,2009,6,0.24,0.13,0,0.06,0.42
4578,7,2006,7,0.35,0.01,0,0.06,0.42
4579,7,2005,1,0.21,0.16,0,0.05,0.42
4580,19,2003,7,0.33,0.09,0,0.01,0.42
4581,14,2003,8,0.31,0.1,0,0.01,0.42
4582,5,2009,6,0.23,0.15,0,0.04,0.42
4583,7,2003,11,0.21,0.16,0,0.05,0.42
4584,13,1999,11,0.24,0.16,0,0.03,0.42
4585,8,1991,9,0,0,0.42,0,0.42
4586,13,1998,9,0.24,0.16,0,0.03,0.42
4587,10,2013,4,0.22,0.13,0.04,0.04,0.42
4588,19,2005,1,0.33,0.08,0,0.01,0.42
4589,5,2011,1,0.15,0.23,0,0.04,0.42
4590,9,2004,2,0,0,0.41,0.01,0.42
4591,4,2008,2,0.39,0,0,0.03,0.42
4592,1,2007,7,0.34,0.04,0.01,0.04,0.42
4593,17,2007,12,0.03,0.2,0.1,0.11,0.42
4594,13,1997,8,0.24,0.16,0,0.03,0.42
4595,7,2003,1,0.21,0.16,0,0.05,0.42
4596,13,2003,1,0.23,0.16,0,0.03,0.42
4597,23,2012,4,0.22,0.01,0.16,0.03,0.42
4598,4,2010,9,0.2,0.19,0,0.04,0.42
4599,4,2006,8,0.38,0.01,0,0.03,0.42
4600,4,2009,9,0.42,0,0,0,0.42
4601,13,2001,3,0.23,0.16,0,0.03,0.42
4602,24,1997,4,0,0,0.42,0,0.42
4603,14,2004,1,0.32,0.09,0,0.02,0.42
4604,9,2005,6,0.3,0.11,0,0.01,0.42
4605,7,2003,3,0.21,0.16,0,0.05,0.42
4606,7,2007,9,0.21,0.16,0,0.05,0.42
4607,7,2002,9,0.21,0.16,0,0.05,0.42
4608,1,2007,2,0.33,0.03,0.04,0.03,0.42
4609,7,2004,3,0.35,0.01,0,0.06,0.42
4610,5,2010,7,0.19,0.17,0.03,0.04,0.42
4611,9,2004,9,0.3,0.11,0,0.01,0.42
4612,4,2009,10,0.37,0.02,0,0.03,0.42
4613,9,2004,2,0.3,0.11,0,0.01,0.42
4614,13,1998,3,0.23,0.16,0,0.03,0.42
4615,17,2005,1,0.39,0,0,0.03,0.42
4616,13,1999,4,0,0,0.39,0.03,0.42
4617,4,2007,6,0.39,0,0,0.03,0.42
4618,17,2008,10,0,0,0.42,0,0.42
4619,14,2002,3,0.35,0.05,0,0.02,0.42
4620,7,2004,1,0,0,0.42,0,0.42
4621,4,2010,11,0.2,0.08,0.12,0.03,0.42
4622,7,2003,9,0.21,0.16,0,0.05,0.42
4623,12,1998,3,0.35,0.06,0,0,0.42
4624,12,2000,1,0.34,0.07,0,0,0.42
4625,12,2001,5,0.34,0.07,0,0,0.42
4626,12,1999,1,0,0,0.39,0.03,0.42
4627,12,2000,7,0.34,0.07,0,0,0.42
4628,19,2004,7,0.32,0.08,0,0.01,0.42
4629,6,2010,6,0.19,0.16,0,0.07,0.42
4630,11,2015,9,0.09,0.25,0.02,0.06,0.42
4631,7,2008,1,0.35,0.01,0,0.06,0.42
4632,18,2014,9,0.24,0.15,0,0.03,0.42
4633,14,2004,8,0.32,0.09,0,0.02,0.42
4634,19,2004,2,0.32,0.08,0,0.01,0.42
4635,5,2006,8,0.36,0.03,0,0.03,0.42
4636,8,1995,1,0,0,0.42,0,0.42
4638,7,2008,1,0.21,0.16,0,0.05,0.42
4639,4,2010,6,0,0,0.42,0,0.42
4640,19,2005,9,0.32,0.08,0,0.01,0.42
4641,1,2009,11,0.39,0,0,0.03,0.42
4642,7,2007,12,0.2,0.16,0,0.05,0.42
4643,4,2009,8,0.35,0.03,0,0.03,0.42
4644,5,2005,9,0.36,0.03,0,0.03,0.42
4645,13,2001,9,0.14,0.1,0.16,0.03,0.42
4646,1,2008,3,0.39,0,0,0.03,0.42
4647,7,2002,7,0.2,0.16,0,0.05,0.42
4648,19,2005,5,0.32,0.08,0,0.01,0.42
4649,7,2005,9,0.18,0.14,0.05,0.05,0.42
4650,6,2010,9,0.21,0.12,0.03,0.05,0.42
4651,4,2008,8,0.22,0.05,0.13,0.02,0.42
4652,13,1998,1,0.02,0.02,0.35,0.03,0.42
4653,9,2001,2,0.3,0.11,0,0.01,0.42
4654,14,2006,7,0.31,0.09,0,0.01,0.42
4655,1,2007,11,0.18,0.17,0.03,0.04,0.42
4656,14,2006,9,0.31,0.09,0,0.01,0.42
4657,17,2009,9,0.21,0.13,0,0.08,0.42
4658,17,2010,9,0.39,0,0,0.03,0.42
4659,20,2015,6,0.19,0.11,0.09,0.03,0.42
4660,10,2016,9,0.16,0.12,0.11,0.03,0.42
4661,6,2010,9,0.13,0.21,0,0.08,0.42
4662,1,2011,1,0.16,0,0.25,0.01,0.42
4663,6,2011,10,0.16,0.18,0,0.07,0.42
4664,14,2004,4,0.31,0.09,0,0.01,0.42
4665,17,2010,1,0,0.28,0,0.14,0.42
4666,7,2007,9,0.2,0.16,0,0.05,0.42
4667,13,2000,11,0.17,0.12,0.1,0.03,0.42
4668,13,1997,10,0.16,0.11,0.12,0.03,0.42
4669,7,2004,6,0.2,0.16,0,0.05,0.42
4670,17,2007,2,0.22,0.09,0.04,0.07,0.42
4671,7,2004,9,0.2,0.16,0,0.05,0.42
4672,24,1995,10,0,0,0.42,0,0.42
4673,6,2009,5,0.26,0.05,0.06,0.04,0.42
4674,14,2001,8,0.3,0.1,0,0.02,0.42
4675,5,2007,7,0.36,0.02,0,0.03,0.41
4676,7,2003,1,0.2,0.16,0,0.05,0.41
4677,7,2003,8,0.15,0.12,0.11,0.04,0.41
4678,4,2009,9,0.26,0.12,0,0.04,0.41
4679,10,2013,9,0,0,0.41,0,0.41
4680,7,2003,6,0.2,0.16,0,0.05,0.41
4681,9,2001,11,0.3,0.11,0,0.01,0.41
4682,7,2003,1,0.2,0.16,0,0.05,0.41
4683,9,2001,11,0.3,0.11,0,0.01,0.41
4684,23,2013,6,0.14,0.07,0.15,0.06,0.41
4686,15,1998,9,0.41,0,0,0,0.41
4687,7,2010,1,0.04,0.21,0.05,0.11,0.41
4688,22,1999,3,0,0,0.41,0,0.41
4689,13,1998,7,0.23,0.16,0,0.03,0.41
4690,7,2007,9,0.34,0.01,0,0.06,0.41
4691,15,2007,7,0.01,0.39,0,0.02,0.41
4692,6,2007,3,0.37,0.01,0,0.03,0.41
4693,7,2010,1,0.2,0.16,0,0.05,0.41
4694,13,2000,6,0.23,0.16,0,0.03,0.41
4695,14,2005,7,0.26,0.13,0,0.02,0.41
4696,17,2009,10,0,0,0.41,0,0.41
4697,13,2000,1,0.23,0.16,0,0.03,0.41
4698,13,1999,9,0.23,0.16,0,0.03,0.41
4699,13,2000,1,0,0,0.39,0.03,0.41
4700,6,2015,7,0.16,0.17,0.02,0.06,0.41
4701,24,1995,9,0,0,0.41,0,0.41
4702,5,2012,9,0.28,0.1,0,0.03,0.41
4703,17,2009,7,0.17,0.15,0,0.09,0.41
4704,5,2014,7,0.18,0.19,0,0.04,0.41
4705,4,2009,11,0.15,0.22,0,0.05,0.41
4706,5,2015,8,0.21,0.16,0,0.04,0.41
4707,7,2002,2,0.2,0.16,0,0.05,0.41
4708,4,2007,6,0,0,0.41,0,0.41
4709,4,2008,2,0.31,0.03,0.04,0.03,0.41
4710,6,2010,10,0.21,0.08,0.09,0.04,0.41
4711,7,2006,9,0.2,0.16,0,0.05,0.41
4712,17,2007,9,0.27,0.08,0,0.06,0.41
4713,24,1996,11,0,0,0.41,0,0.41
4714,7,2005,11,0.34,0.01,0,0.06,0.41
4715,1,2009,6,0.28,0.1,0,0.04,0.41
4716,1,2009,8,0.36,0.03,0,0.03,0.41
4717,6,2012,9,0.37,0,0,0.04,0.41
4718,13,1996,3,0.23,0.16,0,0.03,0.41
4719,23,2015,9,0.09,0.23,0,0.09,0.41
4720,1,2009,6,0,0,0.41,0,0.41
4721,17,2009,9,0.24,0.1,0,0.07,0.41
4722,5,2008,9,0.36,0.02,0,0.03,0.41
4723,7,2002,11,0,0,0.41,0,0.41
4724,1,2011,6,0.36,0.03,0,0.03,0.41
4725,17,2009,3,0.29,0.07,0,0.06,0.41
4726,5,2011,8,0.3,0.08,0,0.03,0.41
4727,13,1997,12,0.23,0.16,0,0.03,0.41
4728,4,2009,9,0.23,0.14,0,0.04,0.41
4729,2,1985,5,0,0,0.41,0,0.41
4730,12,1999,4,0.1,0.02,0.25,0.04,0.41
4731,12,1999,9,0.33,0.07,0,0,0.41
4732,6,2008,1,0.08,0.27,0,0.06,0.41
4733,7,2002,9,0.2,0.16,0,0.05,0.41
4734,23,2014,9,0.05,0.26,0,0.09,0.41
4735,7,2007,4,0.2,0.16,0,0.05,0.41
4736,13,1997,8,0.13,0.09,0.16,0.03,0.41
4737,1,2009,3,0.39,0,0,0.02,0.41
4738,1,2008,1,0.18,0.19,0,0.04,0.41
4739,5,2010,6,0.24,0.13,0,0.04,0.41
4740,13,1999,8,0,0,0.38,0.03,0.41
4741,6,2012,9,0.19,0.15,0,0.07,0.41
4742,15,2014,7,0.14,0.23,0,0.04,0.41
4743,1,2011,6,0.26,0.11,0,0.04,0.41
4744,6,2010,6,0.16,0.18,0,0.07,0.41
4745,7,2009,6,0.15,0.06,0,0.2,0.41
4746,20,2013,9,0.2,0.1,0.08,0.03,0.41
4747,1,2010,9,0.21,0.12,0.04,0.03,0.41
4748,5,2006,7,0.35,0.02,0.01,0.03,0.41
4749,7,2001,8,0.11,0.08,0.19,0.03,0.41
4750,7,2006,6,0.2,0.16,0,0.05,0.41
4751,19,2002,10,0.31,0.08,0,0.01,0.41
4752,1,2006,4,0.37,0.01,0,0.03,0.41
4753,7,2010,9,0.34,0.01,0,0.06,0.41
4754,17,2010,6,0,0,0.41,0,0.41
4755,13,1996,6,0.23,0.15,0,0.03,0.41
4756,13,1998,1,0.15,0.1,0.12,0.03,0.41
4757,7,2008,1,0.34,0.01,0,0.06,0.41
4758,9,2001,6,0,0,0.4,0.01,0.41
4759,1,2008,3,0.36,0.02,0,0.03,0.41
4760,5,2010,9,0.21,0.16,0,0.04,0.41
4761,1,2008,8,0.34,0.04,0,0.03,0.41
4762,6,2008,10,0.22,0.12,0,0.06,0.41
4763,5,2011,6,0.29,0.09,0,0.03,0.41
4764,15,2011,7,0.18,0.17,0,0.06,0.41
4765,17,2010,6,0,0,0.41,0,0.41
4766,7,2009,4,0.23,0.02,0,0.16,0.41
4767,8,1995,5,0,0,0.41,0,0.41
4768,7,2005,2,0.34,0.01,0,0.06,0.41
4769,8,1994,1,0,0,0.41,0,0.41
4770,7,2001,2,0.2,0.16,0,0.05,0.41
4771,18,2015,7,0.24,0.13,0,0.04,0.41
4772,5,2011,7,0.26,0.11,0,0.04,0.41
4773,13,2000,10,0.23,0.15,0,0.03,0.41
4774,7,2005,9,0.34,0.01,0,0.06,0.41
4775,15,2012,9,0.02,0.31,0,0.07,0.41
4776,6,2012,9,0.18,0.12,0.06,0.05,0.41
4777,4,2009,9,0.19,0.18,0,0.04,0.41
4778,4,2009,6,0.38,0,0,0.03,0.41
4779,7,2002,9,0.2,0.15,0,0.05,0.41
4780,13,2003,6,0.23,0.15,0,0.03,0.4
4781,13,2001,1,0.23,0.15,0,0.03,0.4
4782,16,1983,11,0.38,0.02,0,0,0.4
4783,6,2008,6,0.08,0.26,0,0.07,0.4
4784,10,2014,8,0,0.13,0.26,0.01,0.4
4785,5,2007,9,0.36,0.01,0,0.03,0.4
4786,16,1981,9,0.38,0.02,0,0,0.4
4787,1,2010,9,0.17,0.2,0,0.04,0.4
4788,23,2014,6,0.13,0.06,0.16,0.06,0.4
4789,5,2007,12,0.34,0.03,0.01,0.03,0.4
4790,19,2003,2,0.31,0.08,0,0.01,0.4
4791,6,2007,9,0.32,0.04,0.01,0.04,0.4
4792,6,2008,1,0.13,0.2,0,0.08,0.4
4794,20,2013,4,0,0,0.4,0,0.4
4795,6,2008,2,0.12,0.21,0,0.08,0.4
4796,3,1997,4,0,0,0.4,0,0.4
4797,7,2009,1,0.33,0.01,0,0.05,0.4
4798,7,2002,6,0.2,0.15,0,0.05,0.4
4800,1,2012,9,0.38,0,0,0.03,0.4
4801,1,2009,6,0,0,0.4,0,0.4
4802,6,2014,9,0.1,0.2,0.02,0.08,0.4
4803,16,1982,9,0.37,0.02,0,0,0.4
4804,7,2005,4,0.2,0.15,0,0.05,0.4
4805,19,2003,1,0.31,0.08,0,0.01,0.4
4806,4,2005,12,0.3,0.03,0.04,0.03,0.4
4807,4,2009,9,0.27,0.01,0.09,0.03,0.4
4808,7,2008,9,0,0,0.4,0,0.4
4809,17,2005,10,0.36,0.01,0,0.03,0.4
4810,7,2008,9,0.2,0.15,0,0.05,0.4
4811,9,2005,9,0.29,0.11,0,0.01,0.4
4812,13,1997,12,0,0,0.38,0.03,0.4
4813,19,2005,12,0.25,0.07,0.07,0.01,0.4
